date_id,data,ano,mes,dia,dia_semana
1,2024-01-01,2024,1,1,Monday
2,2024-01-02,2024,1,2,Tuesday
3,2024-01-03,2024,1,3,Wednesday
4,2024-01-04,2024,1,4,Thursday
5,2024-01-05,2024,1,5,Friday
6,2024-01-06,2024,1,6,Saturday
7,2024-01-07,2024,1,7,Sunday
8,2024-01-08,2024,1,8,Monday
9,2024-01-09,2024,1,9,Tuesday
10,2024-01-10,2024,1,10,Wednesday
11,2024-01-11,2024,1,11,Thursday
12,2024-01-12,2024,1,12,Friday
13,2024-01-13,2024,1,13,Saturday
14,2024-01-14,2024,1,14,Sunday
15,2024-01-15,2024,1,15,Monday
16,2024-01-16,2024,1,16,Tuesday
17,2024-01-17,2024,1,17,Wednesday
18,2024-01-18,2024,1,18,Thursday
19,2024-01-19,2024,1,19,Friday
20,2024-01-20,2024,1,20,Saturday
21,2024-01-21,2024,1,21,Sunday
22,2024-01-22,2024,1,22,Monday
23,2024-01-23,2024,1,23,Tuesday
24,2024-01-24,2024,1,24,Wednesday
25,2024-01-25,2024,1,25,Thursday
26,2024-01-26,2024,1,26,Friday
27,2024-01-27,2024,1,27,Saturday
28,2024-01-28,2024,1,28,Sunday
29,2024-01-29,2024,1,29,Monday
30,2024-01-30,2024,1,30,Tuesday
31,2024-01-31,2024,1,31,Wednesday
32,2024-02-01,2024,2,1,Thursday
33,2024-02-02,2024,2,2,Friday
34,2024-02-03,2024,2,3,Saturday
35,2024-02-04,2024,2,4,Sunday
36,2024-02-05,2024,2,5,Monday
37,2024-02-06,2024,2,6,Tuesday
38,2024-02-07,2024,2,7,Wednesday
39,2024-02-08,2024,2,8,Thursday
40,2024-02-09,2024,2,9,Friday
41,2024-02-10,2024,2,10,Saturday
42,2024-02-11,2024,2,11,Sunday
43,2024-02-12,2024,2,12,Monday
44,2024-02-13,2024,2,13,Tuesday
45,2024-02-14,2024,2,14,Wednesday
46,2024-02-15,2024,2,15,Thursday
47,2024-02-16,2024,2,16,Friday
48,2024-02-17,2024,2,17,Saturday
49,2024-02-18,2024,2,18,Sunday
50,2024-02-19,2024,2,19,Monday
51,2024-02-20,2024,2,20,Tuesday
52,2024-02-21,2024,2,21,Wednesday
53,2024-02-22,2024,2,22,Thursday
54,2024-02-23,2024,2,23,Friday
55,2024-02-24,2024,2,24,Saturday
56,2024-02-25,2024,2,25,Sunday
57,2024-02-26,2024,2,26,Monday
58,2024-02-27,2024,2,27,Tuesday
59,2024-02-28,2024,2,28,Wednesday
60,2024-02-29,2024,2,29,Thursday
61,2024-03-01,2024,3,1,Friday
62,2024-03-02,2024,3,2,Saturday
63,2024-03-03,2024,3,3,Sunday
64,2024-03-04,2024,3,4,Monday
65,2024-03-05,2024,3,5,Tuesday
66,2024-03-06,2024,3,6,Wednesday
67,2024-03-07,2024,3,7,Thursday
68,2024-03-08,2024,3,8,Friday
69,2024-03-09,2024,3,9,Saturday
70,2024-03-10,2024,3,10,Sunday
71,2024-03-11,2024,3,11,Monday
72,2024-03-12,2024,3,12,Tuesday
73,2024-03-13,2024,3,13,Wednesday
74,2024-03-14,2024,3,14,Thursday
75,2024-03-15,2024,3,15,Friday
76,2024-03-16,2024,3,16,Saturday
77,2024-03-17,2024,3,17,Sunday
78,2024-03-18,2024,3,18,Monday
79,2024-03-19,2024,3,19,Tuesday
80,2024-03-20,2024,3,20,Wednesday
81,2024-03-21,2024,3,21,Thursday
82,2024-03-22,2024,3,22,Friday
83,2024-03-23,2024,3,23,Saturday
84,2024-03-24,2024,3,24,Sunday
85,2024-03-25,2024,3,25,Monday
86,2024-03-26,2024,3,26,Tuesday
87,2024-03-27,2024,3,27,Wednesday
88,2024-03-28,2024,3,28,Thursday
89,2024-03-29,2024,3,29,Friday
90,2024-03-30,2024,3,30,Saturday
91,2024-03-31,2024,3,31,Sunday
